Timestamp x y z qx qy qz qw
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562284760557 0 0 0 0 0 0 1
1547562297279090 0.0540122 0.032536 0 0 0 0.000937561 1.00885
1547562297531357 0.118953 0.0183167 0 0 0 0.00202223 0.999607
1547562297782080 0.21031 0.0107292 0 0 0 0.00508168 1.00237
1547562298033489 0.366304 0.0387721 0 0 0 0.00989311 1.00629
1547562298284292 0.532894 0.0236337 0 0 0 0.0167197 0.95266
1547562298535247 0.76397 0.082398 0 0 0 0.0277616 1.03211
1547562298786414 1.08284 0.10064 0 0 0 0.0400305 1.0466
1547562299036193 1.41374 0.199623 0 0 0 0.055168 1.07472
1547562299285875 1.7678 0.189431 0 0 0 0.0673446 1.01619
1547562299535983 2.13405 0.28899 0 0 0 0.0810657 0.988537
1547562299785265 2.55878 0.379335 0 0 0 0.09774 0.994829
1547562300031888 2.99419 0.42607 0 0 0 0.107993 0.973616
1547562300282161 3.4606 0.631227 0 0 0 0.121987 1.00247
1547562300530228 4.03523 0.795992 0 0 0 0.133764 1.03137
1547562300778534 4.57614 0.828808 0 0 0 0.138435 1.01716
1547562301028701 5.16778 1.01229 0 0 0 0.153142 1.12251
1547562301279384 5.89386 1.28905 0 0 0 0.128468 0.993938
1547562301528101 6.67771 1.46945 0 0 0 0.121644 0.997126
1547562301778326 7.54482 1.6335 0 0 0 0.113408 1.00006
1547562302028027 8.48767 1.76702 0 0 0 0.0946824 0.944101
1547562302277324 9.50507 1.94701 0 0 0 0.0846527 0.988614
1547562302528222 10.615 2.04693 0 0 0 0.0705114 0.99791
